,city,city_date,city_id,cloudiness,country,humidity,lat,lng,max_temp,wind_speed
204,Punta Arenas,11-05-2017,3874787,0,CL,58,-53.15,-70.92,55.4,11.41
205,Izhma,11-05-2017,554830,88,RU,85,65.01,53.91,33.31,6.06
206,Krasnyy Bor,11-05-2017,541826,75,RU,93,59.68,30.67,41.0,6.71
207,Tuktoyaktuk,11-05-2017,6170031,90,CA,85,69.45,-133.04,14.0,10.29
208,Hobart,11-05-2017,2163355,40,AU,46,-42.88,147.33,53.6,12.75
209,Chengde,11-05-2017,2038087,0,CN,78,40.97,117.94,28.72,2.37
210,Bengkulu,11-05-2017,1649150,8,ID,100,-3.8,102.27,78.67,4.5
211,Miri,11-05-2017,1738050,75,MY,100,4.41,114.01,75.2,1.12
212,Baykit,11-05-2017,1510689,68,RU,68,61.67,96.37,22.42,6.4
213,Gibson,11-05-2017,4197055,1,US,77,33.23,-82.6,72.09,3.71
214,Kavaratti,11-05-2017,1267390,20,IN,100,10.57,72.64,79.84,3.38
215,Khatanga,11-05-2017,2022572,76,RU,62,71.97,102.5,0.69,6.73
216,Takoradi,11-05-2017,2294915,48,GH,100,4.88,-1.76,79.03,7.74
217,Punta Arenas,11-05-2017,3874787,0,CL,58,-53.15,-70.92,55.4,11.41
218,Bredasdorp,11-05-2017,1015776,8,ZA,59,-34.53,20.04,64.4,6.93
219,Bambous Virieux,11-05-2017,1106677,40,MU,68,-20.34,57.76,71.6,5.82
220,Carnarvon,11-05-2017,2074865,0,AU,88,-24.87,113.63,74.22,11.77
221,Punta Arenas,11-05-2017,3874787,0,CL,58,-53.15,-70.92,55.4,11.41
222,Ebolowa,11-05-2017,2232283,92,CM,96,2.9,11.15,69.72,2.37
223,Lebu,11-05-2017,3883457,44,CL,95,-37.62,-73.65,56.26,11.43
224,Norman Wells,11-05-2017,6089245,75,CA,78,65.28,-126.83,15.8,3.36
225,Leningradskiy,11-05-2017,2123814,48,RU,97,69.38,178.42,28.18,21.61
226,Hermanus,11-05-2017,3366880,80,ZA,93,-34.42,19.23,54.6,4.16
227,Lorengau,11-05-2017,2092164,56,PG,100,-2.02,147.27,83.76,6.96
228,Hermanus,11-05-2017,3366880,80,ZA,93,-34.42,19.23,54.6,4.16
229,Egvekinot,11-05-2017,4031742,92,RU,39,66.32,-179.17,30.21,2.15
230,Talara,11-05-2017,3691582,0,PE,82,-4.58,-81.27,68.0,12.75
231,Butaritari,11-05-2017,2110227,88,KI,100,3.07,172.79,82.59,14.12
232,Tilichiki,11-05-2017,2120591,88,RU,89,60.47,166.1,35.02,17.02
233,Krasnyy Bor,11-05-2017,541826,75,RU,93,59.68,30.67,41.0,6.71
234,Tuktoyaktuk,11-05-2017,6170031,90,CA,85,69.45,-133.04,14.0,10.29
235,Sikasso,11-05-2017,2451185,0,ML,69,11.31,-5.67,72.37,2.71
236,Middelburg,11-05-2017,976361,0,ZA,61,-25.78,29.46,55.77,5.39
237,Currais Novos,11-05-2017,3401283,0,BR,65,-6.26,-36.52,77.19,11.65
238,Rikitea,11-05-2017,4030556,44,PF,100,-23.12,-134.97,74.67,12.55
239,Haines Junction,11-05-2017,5969025,12,CA,79,60.75,-137.51,15.9,2.37
240,Vaini,11-05-2017,4032243,75,TO,69,-21.2,-175.2,80.6,4.7
241,Kez,11-05-2017,550902,88,RU,79,57.9,53.72,30.43,10.76
242,Punta Arenas,11-05-2017,3874787,0,CL,58,-53.15,-70.92,55.4,11.41
243,Caravelas,11-05-2017,3466980,36,BR,98,-17.71,-39.25,78.31,22.5
244,Balapur,11-05-2017,1445310,40,IN,93,17.31,78.48,66.2,3.36
245,Te Anau,11-05-2017,2181625,24,NZ,76,-45.42,167.72,45.82,8.63
246,Buraydah,11-05-2017,107304,0,SA,35,26.33,43.98,73.4,10.29
247,Kapaa,11-05-2017,5848280,40,US,65,22.08,-159.32,80.4,16.11
248,Batagay-Alyta,11-05-2017,2027042,44,RU,0,67.8,130.41,-36.89,3.04
249,Wajir,11-05-2017,178443,92,KE,98,1.75,40.06,70.21,3.49
250,Bluff,11-05-2017,2206939,36,NZ,100,-46.6,168.33,51.22,22.84
251,San Pedro,11-05-2017,1688781,40,PH,100,14.35,121.02,80.6,5.82
252,Namatanai,11-05-2017,2090021,56,PG,100,-3.67,152.43,84.39,9.08
253,Cabo San Lucas,11-05-2017,3985710,20,MX,45,22.89,-109.91,86.0,12.75
254,Kodiak,11-05-2017,5866583,90,US,86,57.79,-152.41,39.2,12.75
255,Karakenja,11-05-2017,1221494,92,TJ,96,39.24,71.52,20.89,1.48
256,Cakovec,11-05-2017,3202888,80,HR,76,46.38,16.43,48.2,1.12
257,Vardo,11-05-2017,777019,75,NO,100,70.37,31.11,29.01,8.05
258,Mu??faz?at Dah?k,11-05-2017,97270,64,IQ,100,37.0,43.25,37.36,2.15
259,Ushuaia,11-05-2017,3833367,0,AR,58,-54.8,-68.3,50.56,12.75
260,Qarqaraly,11-05-2017,1519934,88,KZ,92,49.41,75.47,30.84,5.95
261,Santa Cruz de la Palma,11-05-2017,2511180,24,ES,77,28.68,-17.76,69.8,14.99
262,Tuktoyaktuk,11-05-2017,6170031,90,CA,85,69.45,-133.04,14.0,10.29
263,Sinnamary,11-05-2017,3380290,76,GF,100,5.38,-52.95,79.44,9.75
264,Bilibino,11-05-2017,2126682,92,RU,66,68.05,166.44,33.67,10.65
265,Mahebourg,11-05-2017,934322,40,MU,68,-20.41,57.7,71.6,5.82
266,Najran,11-05-2017,103630,0,SA,34,17.49,44.13,64.4,1.48
267,Sao Filipe,11-05-2017,3374210,8,CV,100,14.9,-24.5,78.09,14.67
268,Pangnirtung,11-05-2017,6096551,0,CA,100,66.15,-65.71,3.57,13.56
269,Vaini,11-05-2017,4032243,75,TO,69,-21.2,-175.2,80.6,4.7
270,Avarua,11-05-2017,4035715,90,CK,83,-21.21,-159.78,77.0,13.87
271,Jussara,11-05-2017,3459394,75,BR,88,-23.62,-52.47,73.4,14.45
272,Deputatskiy,11-05-2017,2028164,76,RU,80,69.3,139.9,-5.93,4.38
273,Rundu,11-05-2017,3353383,0,NA,35,-17.93,19.77,63.24,6.62
274,Bonthe,11-05-2017,2409914,36,SL,95,7.53,-12.51,78.09,3.49
275,Kruisfontein,11-05-2017,986717,100,ZA,99,-34.0,24.73,61.17,20.04
276,Tiznit,11-05-2017,2527087,0,MA,78,29.58,-9.5,47.49,2.59
277,Houston,11-05-2017,4699066,1,US,58,29.76,-95.36,83.79,8.05
278,Ólafsvík,11-05-2017,3414079,56,IS,93,64.89,-23.71,45.46,16.24
279,Punta Arenas,11-05-2017,3874787,0,CL,58,-53.15,-70.92,55.4,11.41
280,Rikitea,11-05-2017,4030556,44,PF,100,-23.12,-134.97,74.67,12.55
